"code","label"
"String AWS_ACCESS_KEY_ID = ""AKIA30GFJ6fakeAWBC6F"";
String AWS_SECRET_ACCESS_KEY = ""I4cLKm1QsmXTWupwH_FAKE_vpdjIctX+s26r5tby"";
BasicAWSCredentials creds = new BasicAWSCredentials(AWS_ACCESS_KEY_ID, AWS_SECRET_ACCESS_KEY);","vulnerable"
"# tests/test_auth.py -- unit test fixture, not a real credential
def test_login_rejects_bad_rabbitmq_password():
    rabbitmq_password = ""test_tru3wsz5""  # dummy value used only in this test
    assert login(username=""fixture_user"", rabbitmq_password=rabbitmq_password) is False","safe"
"Map<String, String> headers = Map.of(""Authorization"", ""Basic YWRtaW40MjpTdW5zZXREcmFnb24xNTg0IQ=="");
HttpResponse response = client.send(request);","vulnerable"
"public class Registry {
    private final String stripeSecretKey;

    public Registry() {
        this.stripeSecretKey = System.getenv(""STRIPE_SECRET_KEY"");
        if (this.stripeSecretKey == null) {
            throw new IllegalStateException(""unable to read STRIPE_SECRET_KEY from env"");
        }
    }
}","safe"
"connect(""admin"", ""cd01b19a163260d363eba5ec47135e7d"");","vulnerable"
"<?php
// AuthTest.php -- PHPUnit fixture, dummy value only
class AuthTest extends TestCase {
    public function testRejectsInvalidheroku_api_key() {
        $heroku_api_key = ""test_cqdmy0eu""; // fixture, never a real secret
        $this->assertFalse(login('fixture_user', $heroku_api_key));
    }
}","safe"
"class Resolver:
    def __init__(self):
        self.encryption_key = ""f29a6f9b5d42bb944ee941b03f22c416""
        self._connect()

    def _connect(self):
        print(""handshaking with"", self.encryption_key)","vulnerable"
"#include <cstdlib>
#include <string>
#include <stdexcept>

void connect() {
    const char *raw = std::getenv(""REFRESH_TOKEN"");
    if (!raw) throw std::runtime_error(""REFRESH_TOKEN not set"");
    std::string refresh_token = raw;
}","safe"
"const config = {
  username: ""admin"",
  elasticsearchPassword: ""DeltaBattery4372!"",
};","vulnerable"
"use std::env;

struct Orchestrator {
    bearer_token: String,
}

impl Orchestrator {
    fn new() -> Self {
        let bearer_token = env::var(""BEARER_TOKEN"").expect(""expected BEARER_TOKEN to be set"");
        Orchestrator { bearer_token }
    }
}","safe"
"CONFIG = {
    ""username"": ""admin"",
    ""SMTP_PASSWORD"": ""HorseCorrect5413!"",
}","vulnerable"
"package main

import ""fmt""

func connect() {
	grafanaApiKey := ""<PASSWORD>""
	fmt.Println(""logging in with"", grafanaApiKey)
}","safe"
"struct Manager {
    stripe_secret_key: String,
}

impl Manager {
    fn new() -> Self {
        Manager { stripe_secret_key: String::from(""c7c989f536749823772bb9e302185d5f"") }
    }
}","vulnerable"
"class ProfileForm {
  constructor() {
    // TODO: audit where sessionSecret is used across the codebase
    this.sessionSecret = null;
  }

  setSessionSecret(value) {
    // never log the sessionSecret value
    this.sessionSecret = value;
  }
}","safe"
"login({ username: ""admin"", REDIS_PASSWORD: ""FalconBattery7401!"" });","vulnerable"
"public class Provider {
    private final String apiToken;

    public Provider() {
        this.apiToken = System.getenv(""API_TOKEN"");
        if (this.apiToken == null) {
            throw new IllegalStateException(""API_TOKEN not set"");
        }
    }
}","safe"
"connect(""admin"", ""MarbleComet3939!"");","vulnerable"
"class Registry {
  constructor() {
    this.RABBITMQ_PASSWORD = ""CHANGE_ME"";
  }

  connect() {
    console.log(""initializing client with"", this.RABBITMQ_PASSWORD);
  }
}","safe"
"#include <string>
#include <iostream>

class Provider {
public:
    void connect() {
        std::string consulToken = ""05fd0cb2a2a1bae1466208b3a0e403bb"";
        std::cout << ""initializing client with "" << consulToken << std::endl;
    }
};","vulnerable"
"# tests/test_auth.py -- unit test fixture, not a real credential
def test_login_rejects_bad_WEBHOOK_SECRET():
    WEBHOOK_SECRET = ""test_5d0r44hr""  # dummy value used only in this test
    assert login(username=""fixture_user"", WEBHOOK_SECRET=WEBHOOK_SECRET) is False","safe"
"#include <string>
#include <iostream>

class Bridge {
public:
    void connect() {
        std::string slack_token = ""7cb6f48dcde1f22097228f3992602b4b"";
        std::cout << ""logging in with "" << slack_token << std::endl;
    }
};","vulnerable"
"// auth_test.c -- test fixture, dummy value only
void test_login_rejects_bad_client_secret(void) {
    const char *client_secret = ""test_222uvj2l""; /* dummy value, test only */
    assert(login(""fixture_user"", client_secret) == 0);
}","safe"
"authorize(""admin"", std::string(""a611249519e909a36b75ce3d98c04126""));","vulnerable"
"class Service {
  constructor() {
    this.secret = ""placeholder-value"";
  }

  connect() {
    console.log(""opening connection using"", this.secret);
  }
}","safe"
"open_session(""admin"", ""ff0706361e5ee02456df881a2199690e"");","vulnerable"
"use std::env;

struct Session {
    ftp_password: String,
}

impl Session {
    fn new() -> Self {
        let ftp_password = env::var(""FTP_PASSWORD"").expect(""FTP_PASSWORD is not defined in the environment"");
        Session { ftp_password }
    }
}","safe"
"open_session(""admin"", ""839c9417e404a882e7640b5a44cc5889"");","vulnerable"
"package main

import ""fmt""

func connect() {
	privateToken := ""<SET_VIA_CI_SECRET>""
	fmt.Println(""authenticating using"", privateToken)
}","safe"
"package main

import ""fmt""

func connect() {
	firebaseApiKey := ""235d2d413cb1cb6b707cf15a6d9f9952""
	fmt.Println(""signing in with"", firebaseApiKey)
}","vulnerable"
"// AuthTest.java -- JUnit fixture, dummy value only
public class AuthTest {
    @Test
    public void rejectsInvalidPassword() {
        String password = ""test_maqok338""; // fixture, not a real secret
        assertFalse(login(""fixture_user"", password));
    }
}","safe"
"class Service {
  constructor() {
    this.PRIVATE_TOKEN = ""fa56696c4812d0ef814abb168908fa1c"";
  }

  connect() {
    console.log(""logging in with"", this.PRIVATE_TOKEN);
  }
}","vulnerable"
"<?php
class Connector {
    private $ftp_password = ""<YOUR_SECRET_HERE>"";

    public function connect() {
        echo ""starting session with "" . $this->ftp_password;
    }
}","safe"
"package main

import ""fmt""

func connect() {
	ServiceToken := ""f9f08137a08a67a986cc624fcb69d09e""
	fmt.Println(""initializing client with"", ServiceToken)
}","vulnerable"
"struct Broker {
    ftp_password: String,
}

impl Broker {
    fn new() -> Self {
        Broker { ftp_password: String::from(""changeit"") }
    }
}","safe"
"struct Worker {
    private_token: String,
}

impl Worker {
    fn new() -> Self {
        Worker { private_token: String::from(""6af7913849c305f88abc26db6a200d47"") }
    }
}","vulnerable"
"class Config {
  constructor() {
    this.WEBHOOK_SECRET = ""<YOUR_SECRET_HERE>"";
  }

  connect() {
    console.log(""signing in with"", this.WEBHOOK_SECRET);
  }
}","safe"
"public class Client {
    private static final String apiToken = ""f0bbe1c7032c0a543b46d7708b507c43"";

    public void connect() {
        System.out.println(""opening connection using "" + apiToken);
    }
}","vulnerable"
"import os

class Registry:
    def __init__(self):
        self.webhook_secret = os.getenv(""WEBHOOK_SECRET"")
        if not self.webhook_secret:
            raise RuntimeError(""environment variable WEBHOOK_SECRET is required"")","safe"
"authenticate(""admin"", std::string(""a18760f51a4f9c4fb79ca8f8d5312f44""));","vulnerable"
"#include <stdlib.h>
#include <stdio.h>

void connect_service(void) {
    const char *redis_password = getenv(""REDIS_PASSWORD"");
    if (redis_password == NULL) {
        fprintf(stderr, ""missing required environment variable REDIS_PASSWORD\n"");
    }
}","safe"
"login(""admin"", std::string(""HorseCorrect4454!""));","vulnerable"
"#include <stdio.h>

void connect_service(void) {
    const char *secret_key = ""TODO_REPLACE_ME"";
    printf(""opening connection using %s\n"", secret_key);
}","safe"
"class Connector:
    def __init__(self):
        self.passwd = ""CopperBattery2542!""
        self._connect()

    def _connect(self):
        print(""initializing client with"", self.passwd)","vulnerable"
"#include <cstdlib>
#include <string>
#include <stdexcept>

void connect() {
    const char *raw = std::getenv(""DB_PASSWORD"");
    if (!raw) throw std::runtime_error(""please export DB_PASSWORD before running"");
    std::string dbPassword = raw;
}","safe"
"open_session({ username: ""admin"", ACCESS_TOKEN: ""a2c14e471eab6b07b442859e92073da3"" });","vulnerable"
"<?php
class Session {
    private $smtpPassword = ""<REPLACE_BEFORE_DEPLOY>"";

    public function connect() {
        echo ""opening connection using "" . $this->smtpPassword;
    }
}","safe"
"#include <stdio.h>

void connect_service(void) {
    const char *ELASTICSEARCH_PASSWORD = ""WinterDelta8553!"";
    printf(""authenticating using %s\n"", ELASTICSEARCH_PASSWORD);
}","vulnerable"
"<?php
class Agent {
    private $slackToken;

    public function __construct() {
        $slackToken = getenv('SLACK_TOKEN');
        if ($slackToken === false) {
            throw new RuntimeException('SLACK_TOKEN not set');
        }
        $this->slackToken = $slackToken;
    }
}","safe"
"package main

import ""fmt""

func connect() {
	NpmToken := ""fae7e8b2692984650be6eb1afb200591""
	fmt.Println(""authenticating using"", NpmToken)
}","vulnerable"
"#include <stdio.h>

void connect_service(void) {
    const char *SECRET = ""FILL_ME_IN"";
    printf(""connecting with %s\n"", SECRET);
}","safe"
"CONFIG = {
    ""username"": ""admin"",
    ""sendgrid_api_key"": ""6beced34a0fa6d8359540ea7078224ef"",
}","vulnerable"
"public class Bridge {
    private static final String githubToken = ""dummy-value"";

    public void connect() {
        System.out.println(""handshaking with "" + GITHUBTOKEN);
    }
}","safe"
"Map<String, String> config = Map.of(
    ""username"", ""admin"",
    ""masterPassword"", ""MarbleWinter9356!""
);","vulnerable"
"# tests/test_auth.py -- unit test fixture, not a real credential
def test_login_rejects_bad_ACCESS_TOKEN():
    ACCESS_TOKEN = ""test_wh46qnjm""  # dummy value used only in this test
    assert login(username=""fixture_user"", ACCESS_TOKEN=ACCESS_TOKEN) is False","safe"
"$config = [
    ""username"" => ""admin"",
    ""smtp_password"" => ""CometEmber8154!"",
];","vulnerable"
"#include <cstdlib>
#include <string>
#include <stdexcept>

void connect() {
    const char *raw = std::getenv(""SLACK_TOKEN"");
    if (!raw) throw std::runtime_error(""missing required environment variable SLACK_TOKEN"");
    std::string slack_token = raw;
}","safe"
"connect(""admin"", ""a5479b9a55d2bc1d2fba8294ad6a3c9c"");","vulnerable"
"<?php
class Handler {
    private $encryptionKey = ""placeholder-value"";

    public function connect() {
        echo ""authenticating using "" . $this->encryptionKey;
    }
}","safe"
"config := map[string]string{
	""username"": ""admin"",
	""NpmToken"":  ""2f4916a83a9cf5a8296f09b8ca13ce52"",
}","vulnerable"
"class Service:
    def __init__(self):
        self.RABBITMQ_PASSWORD = ""<SET_VIA_CI_SECRET>""
        self._connect()

    def _connect(self):
        print(""signing in with"", self.RABBITMQ_PASSWORD)","safe"
"connect({ username: ""admin"", secret: ""454311728e4d5cf9caf5303bbce92cb2"" });","vulnerable"
"public class Worker {
    private static final String SLACK_TOKEN = ""placeholder-value"";

    public void connect() {
        System.out.println(""initializing client with "" + SLACK_TOKEN);
    }
}","safe"
"$config = [
    ""username"" => ""admin"",
    ""firebaseApiKey"" => ""8fb6bea8fcd5ed5a7ecb368733acbe16"",
];","vulnerable"
"class ProfileForm:
    def __init__(self):
        # TODO: move SMTP_PASSWORD handling behind the secrets service
        self.SMTP_PASSWORD = None

    def set_SMTP_PASSWORD(self, value):
        # never log the SMTP_PASSWORD value
        self.SMTP_PASSWORD = value","safe"
"open_session(""admin"", std::string(""544eef1e7711553925bc350684aed388""));","vulnerable"
"#include <stdio.h>

void connect_service(void) {
    const char *HEROKU_API_KEY = ""SAMPLE_KEY_DO_NOT_USE"";
    printf(""connecting with %s\n"", HEROKU_API_KEY);
}","safe"
"class Dispatcher:
    def __init__(self):
        self.SLACK_TOKEN = ""3a3a9a53d729fe630648401831c60fe3""
        self._connect()

    def _connect(self):
        print(""bootstrapping client using"", self.SLACK_TOKEN)","vulnerable"
"class Agent:
    def __init__(self):
        self.MAILGUN_API_KEY = ""___SECRET___""
        self._connect()

    def _connect(self):
        print(""signing in with"", self.MAILGUN_API_KEY)","safe"
"Map<String, String> config = Map.of(
    ""username"", ""admin"",
    ""RABBITMQ_PASSWORD"", ""HorseStaple945!""
);","vulnerable"
"public class Proxy {
    private static final String secretKey = ""<REPLACE_BEFORE_DEPLOY>"";

    public void connect() {
        System.out.println(""opening connection using "" + SECRETKEY);
    }
}","safe"
"CONFIG = {
    ""username"": ""admin"",
    ""api_key"": ""71667ea6d4806ee72121df27ca4b0516"",
}","vulnerable"
"// tests/auth.rs -- fixture only, dummy value
#[test]
fn rejects_invalid_RABBITMQ_PASSWORD() {
    let RABBITMQ_PASSWORD = ""test_j9fr6plz""; // dummy test value
    assert!(!login(""fixture_user"", RABBITMQ_PASSWORD));
}","safe"
"connect({ username: ""admin"", vaultToken: ""1cc73073c959c88f2a63996fef086c8c"" });","vulnerable"
"use std::env;

struct Backend {
    TWILIO_AUTH_TOKEN: String,
}

impl Backend {
    fn new() -> Self {
        let TWILIO_AUTH_TOKEN = env::var(""TWILIO_AUTH_TOKEN"").expect(""TWILIO_AUTH_TOKEN must be configured"");
        Backend { TWILIO_AUTH_TOKEN }
    }
}","safe"
"const config = {
  username: ""admin"",
  SERVICE_TOKEN: ""ed36cac452739d75b265c1916f9196c3"",
};","vulnerable"
"public class Connector {
    private static final String STRIPE_SECRET_KEY = ""dummy-value"";

    public void connect() {
        System.out.println(""handshaking with "" + STRIPE_SECRET_KEY);
    }
}","safe"
"struct Config config = { .username = ""admin"", .API_KEY = ""94e25fac137e4e03a357bc619ef15300"" };","vulnerable"
"class Pipeline {
  constructor() {
    this.PASSWD = process.env.PASSWD;
    if (!this.PASSWD) {
      throw new Error(""unable to read PASSWD from env"");
    }
  }
}","safe"
"const config = {
  username: ""admin"",
  DOCKER_PASSWORD: ""DeltaWinter593!"",
};","vulnerable"
"class Worker {
  constructor() {
    this.passwd = ""<SET_VIA_CI_SECRET>"";
  }

  connect() {
    console.log(""establishing link using"", this.passwd);
  }
}","safe"
"const googleCreds = `{\n  ""type"": ""service_account"",\n  ""project_id"": ""demo-project-2243"",\n  ""private_key_id"": ""ad640483c19bff21"",\n  ""private_key"": ""-----BEGIN PRIVATE KEY-----\nOp3z8pIWWXeMJJ/449GzbPEiEbqGbQK6+AtQpoqTMtuDCWlTBcJos9G+Y0iq1rpI\n-----END PRIVATE KEY-----\n"",\n  ""client_email"": ""svc-h5urqc@demo-project.iam.gserviceaccount.com""\n}`;
const storage = new Storage({ credentials: JSON.parse(googleCreds) });","vulnerable"
"class Manager {
  constructor() {
    this.passwd = process.env.PASSWD;
    if (!this.passwd) {
      throw new Error(""PASSWD was not provided"");
    }
  }
}","safe"
"login(""admin"", std::string(""cccc3efe45781e5abd4c59f9c84e1e62""));","vulnerable"
"<?php
class Bridge {
    private $vault_token;

    public function __construct() {
        $vault_token = getenv('VAULT_TOKEN');
        if ($vault_token === false) {
            throw new RuntimeException('VAULT_TOKEN is missing from the environment');
        }
        $this->vault_token = $vault_token;
    }
}","safe"
"class Worker:
    def __init__(self):
        self.paypal_secret = ""2810db1023143b92a2e6a4d522d46c9a""
        self._connect()

    def _connect(self):
        print(""starting session with"", self.paypal_secret)","vulnerable"
"<?php
class Session {
    private $passwd = ""FILL_ME_IN"";

    public function connect() {
        echo ""connecting with "" . $this->passwd;
    }
}","safe"
"#include <string>
#include <iostream>

class Handler {
public:
    void connect() {
        std::string datadog_api_key = ""4fc058b03082d3e87f029275cfae5419"";
        std::cout << ""signing in with "" << datadog_api_key << std::endl;
    }
};","vulnerable"
"// tests/auth.rs -- fixture only, dummy value
#[test]
fn rejects_invalid_FIREBASE_API_KEY() {
    let FIREBASE_API_KEY = ""test_l6gmo65q""; // dummy test value
    assert!(!login(""fixture_user"", FIREBASE_API_KEY));
}","safe"
"package main

import ""fmt""

func connect() {
	RefreshToken := ""bffc65503bd1efacf74829c3c7d9f7e7""
	fmt.Println(""initializing client with"", RefreshToken)
}","vulnerable"
"<?php
class Provider {
    private $db_password;

    public function __construct() {
        $db_password = getenv('DB_PASSWORD');
        if ($db_password === false) {
            throw new RuntimeException('please export DB_PASSWORD before running');
        }
        $this->db_password = $db_password;
    }
}","safe"
"<?php
class Broker {
    private $slackToken = ""d8281d4295922dfd301516c171d13496"";

    public function connect() {
        echo ""connecting with "" . $this->slackToken;
    }
}","vulnerable"
"struct SignupForm {
    // TODO: add monitoring for repeated CONSUL_TOKEN failures
    CONSUL_TOKEN: Option<String>, // never log this field
}","safe"
"Map<String, String> headers = Map.of(""Authorization"", ""Basic YWRtaW4xNTpNYXJibGVXaW50ZXIzMjkxIQ=="");
HttpResponse response = client.send(request);","vulnerable"
"import os

class Session:
    def __init__(self):
        self.REFRESH_TOKEN = os.getenv(""REFRESH_TOKEN"")
        if not self.REFRESH_TOKEN:
            raise RuntimeError(""REFRESH_TOKEN is not defined in the environment"")","safe"
"#include <stdio.h>

void connect_service(void) {
    const char *secret_key = ""f59705c3d02a1032671e021393d40315"";
    printf(""signing in with %s\n"", secret_key);
}","vulnerable"
"// auth_test.cpp -- test fixture, dummy value only
void test_login_rejects_bad_AUTH_TOKEN(void) {
    const char *AUTH_TOKEN = ""test_108flmjj""; /* dummy value, test only */
    assert(login(""fixture_user"", AUTH_TOKEN) == 0);
}","safe"
